#separator:tab
#html:false
#columns:Front	Back
achieve (核心动词（约 120）)	实现（achieve a goal）
defend (核心动词（约 120）)	防卫；辩护
define (核心动词（约 120）)	定义
deliver (核心动词（约 120）)	递送；发表（演讲）
demand (核心动词（约 120）)	要求；需求
demonstrate (核心动词（约 120）)	证明；演示
depend (核心动词（约 120）)	依赖（depend on）
describe (核心动词（约 120）)	描述
design (核心动词（约 120）)	设计
destroy (核心动词（约 120）)	摧毁
determine (核心动词（约 120）)	决定；测定
develop (核心动词（约 120）)	发展；开发
differ (核心动词（约 120）)	不同（differ from）
discover (核心动词（约 120）)	发现
discuss (核心动词（约 120）)	讨论
display (核心动词（约 120）)	展示
divide (核心动词（约 120）)	划分（divide into）
doubt (核心动词（约 120）)	怀疑
earn (核心动词（约 120）)	赚得；赢得
educate (核心动词（约 120）)	教育
enable (核心动词（约 120）)	使能够（enable sb to do）
encourage (核心动词（约 120）)	鼓励
enjoy (核心动词（约 120）)	享受（enjoy doing）
ensure (核心动词（约 120）)	确保
enter (核心动词（约 120）)	进入；报名
equip (核心动词（约 120）)	配备（equip with）
establish (核心动词（约 120）)	建立
estimate (核心动词（约 120）)	估计
examine (核心动词（约 120）)	检查；考试
exist (核心动词（约 120）)	存在
expect (核心动词（约 120）)	期望（expect to do）
experience (核心动词（约 120）)	v.经历；n.经验/经历
explain (核心动词（约 120）)	解释
express (核心动词（约 120）)	表达
fail (核心动词（约 120）)	失败；未能（fail to do）
focus (核心动词（约 120）)	聚焦（focus on）
force (核心动词（约 120）)	强迫（force sb to do）
form (核心动词（约 120）)	形成；表格
function (核心动词（约 120）)	起作用；功能
gain (核心动词（约 120）)	获得
gather (核心动词（约 120）)	聚集
generate (核心动词（约 120）)	产生
grow (核心动词（约 120）)	成长；增长
handle (核心动词（约 120）)	处理
identify (核心动词（约 120）)	识别；认同
ignore (核心动词（约 120）)	忽视
imagine (核心动词（约 120）)	想象
improve (核心动词（约 120）)	改善
include (核心动词（约 120）)	包括
increase (核心动词（约 120）)	增加
indicate (核心动词（约 120）)	表明
influence (核心动词（约 120）)	影响
inform (核心动词（约 120）)	通知（inform sb of）
insist (核心动词（约 120）)	坚持（insist on / that）
intend (核心动词（约 120）)	打算（intend to do）
introduce (核心动词（约 120）)	介绍；引进
involve (核心动词（约 120）)	涉及（be involved in）
judge (核心动词（约 120）)	判断
keep (核心动词（约 120）)	保持（keep doing）
lack (核心动词（约 120）)	缺乏
lead (核心动词（约 120）)	导致（lead to）
learn (核心动词（约 120）)	学习（learn from）
limit (核心动词（约 120）)	限制
maintain (核心动词（约 120）)	维持
manage (核心动词（约 120）)	设法做成（manage to do）；管理
measure (核心动词（约 120）)	测量；措施
mention (核心动词（约 120）)	提到
mind (核心动词（约 120）)	介意；头脑
notice (核心动词（约 120）)	注意到；通知
obtain (核心动词（约 120）)	获得
occur (核心动词（约 120）)	发生（occur to sb）
offer (核心动词（约 120）)	提供
operate (核心动词（约 120）)	操作；动手术
organize (核心动词（约 120）)	组织
perform (核心动词（约 120）)	执行；表演
persuade (核心动词（约 120）)	说服（persuade sb to do）
prefer (核心动词（约 120）)	更喜欢（prefer to / prefer A to B）
prepare (核心动词（约 120）)	准备（prepare for）
prevent (核心动词（约 120）)	防止（prevent sb from doing）
produce (核心动词（约 120）)	生产；引起
promote (核心动词（约 120）)	促进；晋升
protect (核心动词（约 120）)	保护（protect from）
prove (核心动词（约 120）)	证明
provide (核心动词（约 120）)	提供（provide sb with sth）
publish (核心动词（约 120）)	出版
pursue (核心动词（约 120）)	追求
raise (核心动词（约 120）)	提高；筹集；抚养（及物）
range (核心动词（约 120）)	达到；实现
receive (核心动词（约 120）)	收到
recognise / recognize (核心动词（约 120）)	认出；承认
recommend (核心动词（约 120）)	推荐
reduce (核心动词（约 120）)	减少
refer (核心动词（约 120）)	指；查阅（refer to）
reflect (核心动词（约 120）)	反映；反思
refuse (核心动词（约 120）)	拒绝
regard (核心动词（约 120）)	视为（regard as）
regret (核心动词（约 120）)	后悔（regret doing / to do）
relate (核心动词（约 120）)	相关（be related to）
remain (核心动词（约 120）)	仍然是；剩余
remind (核心动词（约 120）)	提醒（remind sb of）
remove (核心动词（约 120）)	移除
replace (核心动词（约 120）)	替换
represent (核心动词（约 120）)	代表
require (核心动词（约 120）)	要求（require sb to do）
research (核心动词（约 120）)	研究
respect (核心动词（约 120）)	尊重
respond (核心动词（约 120）)	回应（respond to）
result (核心动词（约 120）)	导致（result in）；结果
reveal (核心动词（约 120）)	揭示
rise (核心动词（约 120）)	上升（不及物）
satisfy (核心动词（约 120）)	使满意（be satisfied with）
seek (核心动词（约 120）)	寻求
select (核心动词（约 120）)	挑选
share (核心动词（约 120）)	分享
solve (核心动词（约 120）)	解决
spend (核心动词（约 120）)	花费（spend time/money on / doing）
suffer (核心动词（约 120）)	遭受（suffer from）
suggest (核心动词（约 120）)	建议（suggest doing / that）
support (核心动词（约 120）)	支持
survive (核心动词（约 120）)	幸存
tend (核心动词（约 120）)	往往（tend to do）
threaten (核心动词（约 120）)	威胁
train (核心动词（约 120）)	训练
treat (核心动词（约 120）)	对待；治疗
trust (核心动词（约 120）)	信任
understand (核心动词（约 120）)	理解
value (核心动词（约 120）)	重视；价值
vary (核心动词（约 120）)	变化（vary from）
warn (核心动词（约 120）)	警告（warn sb of/about）
able (核心形容词（约 90）)	能够（be able to）
active (核心形容词（约 90）)	积极的
actual (核心形容词（约 90）)	实际的
additional (核心形容词（约 90）)	额外的
afraid (核心形容词（约 90）)	害怕的
alive (核心形容词（约 90）)	活着的
alone (核心形容词（约 90）)	独自的
amazing (核心形容词（约 90）)	惊人的
ancient (核心形容词（约 90）)	古代的
annual (核心形容词（约 90）)	每年的
anxious (核心形容词（约 90）)	焦虑的（be anxious about）
appropriate (核心形容词（约 90）)	合适的
available (核心形容词（约 90）)	可获得的（be available to）
average (核心形容词（约 90）)	平均的；普通的
aware (核心形容词（约 90）)	意识到（be aware of）
basic (核心形容词（约 90）)	基本的
beautiful (核心形容词（约 90）)	美丽的
beneficial (核心形容词（约 90）)	有益的（to）
brief (核心形容词（约 90）)	简短的
bright (核心形容词（约 90）)	明亮的；聪明的
broad (核心形容词（约 90）)	宽广的
careful (核心形容词（约 90）)	仔细的
certain (核心形容词（约 90）)	确定的
cheap (核心形容词（约 90）)	便宜的
clear (核心形容词（约 90）)	清楚的
common (核心形容词（约 90）)	常见的；共同的
complex (核心形容词（约 90）)	复杂的
confident (核心形容词（约 90）)	自信的
conscious (核心形容词（约 90）)	有意识的
convenient (核心形容词（约 90）)	方便的
creative (核心形容词（约 90）)	有创造力的
crucial (核心形容词（约 90）)	关键的
curious (核心形容词（约 90）)	好奇的
current (核心形容词（约 90）)	当前的
daily (核心形容词（约 90）)	每日的
dangerous (核心形容词（约 90）)	危险的
deep (核心形容词（约 90）)	深的
different (核心形容词（约 90）)	不同的
difficult (核心形容词（约 90）)	困难的
digital (核心形容词（约 90）)	数字的
direct (核心形容词（约 90）)	直接的
eager (核心形容词（约 90）)	渴望的（be eager to）
easy (核心形容词（约 90）)	容易的
economic (核心形容词（约 90）)	经济的
effective (核心形容词（约 90）)	有效的
efficient (核心形容词（约 90）)	高效的
electric (核心形容词（约 90）)	电的
empty (核心形容词（约 90）)	空的
entire (核心形容词（约 90）)	整个的
equal (核心形容词（约 90）)	平等的
essential (核心形容词（约 90）)	必要的
excellent (核心形容词（约 90）)	优秀的
expensive (核心形容词（约 90）)	昂贵的
familiar (核心形容词（约 90）)	熟悉的（be familiar with）
famous (核心形容词（约 90）)	著名的（be famous for）
final (核心形容词（约 90）)	最终的
financial (核心形容词（约 90）)	金融的
flexible (核心形容词（约 90）)	灵活的
foreign (核心形容词（约 90）)	外国的
free (核心形容词（约 90）)	自由的；免费的
frequent (核心形容词（约 90）)	频繁的
fresh (核心形容词（约 90）)	新鲜的
full (核心形容词（约 90）)	满的
general (核心形容词（约 90）)	一般的
global (核心形容词（约 90）)	全球的
great (核心形容词（约 90）)	伟大的；很大的
happy (核心形容词（约 90）)	快乐的
hard (核心形容词（约 90）)	努力的；困难的
healthy (核心形容词（约 90）)	健康的
heavy (核心形容词（约 90）)	重的
helpful (核心形容词（约 90）)	有帮助的
high (核心形容词（约 90）)	高的
honest (核心形容词（约 90）)	诚实的
huge (核心形容词（约 90）)	巨大的
human (核心形容词（约 90）)	人类的
immediate (核心形容词（约 90）)	立即的
important (核心形容词（约 90）)	重要的
independent (核心形容词（约 90）)	独立的
individual (核心形容词（约 90）)	个人的；个体
industrial (核心形容词（约 90）)	工业的
intelligent (核心形容词（约 90）)	聪明的
international (核心形容词（约 90）)	国际的
large (核心形容词（约 90）)	大的
legal (核心形容词（约 90）)	合法的
likely (核心形容词（约 90）)	可能的（be likely to）
limited (核心形容词（约 90）)	有限的
local (核心形容词（约 90）)	当地的
major (核心形容词（约 90）)	主要的；专业
medical (核心形容词（约 90）)	医疗的
mental (核心形容词（约 90）)	精神的
modern (核心形容词（约 90）)	现代的
natural (核心形容词（约 90）)	自然的
necessary (核心形容词（约 90）)	必要的
negative (核心形容词（约 90）)	消极的；否定的
nervous (核心形容词（约 90）)	紧张的
normal (核心形容词（约 90）)	正常的
obvious (核心形容词（约 90）)	明显的
official (核心形容词（约 90）)	官方的
online (核心形容词（约 90）)	在线的
open (核心形容词（约 90）)	开放的
original (核心形容词（约 90）)	原来的；原创的
particular (核心形容词（约 90）)	特别的（in particular）
patient (核心形容词（约 90）)	有耐心的；病人
perfect (核心形容词（约 90）)	完美的
personal (核心形容词（约 90）)	个人的
physical (核心形容词（约 90）)	身体的；物理的
pleasant (核心形容词（约 90）)	令人愉快的
popular (核心形容词（约 90）)	受欢迎的
positive (核心形容词（约 90）)	积极的
possible (核心形容词（约 90）)	可能的
potential (核心形容词（约 90）)	潜在的
practical (核心形容词（约 90）)	实际的
previous (核心形容词（约 90）)	先前的
primary (核心形容词（约 90）)	主要的；初级的
private (核心形容词（约 90）)	私人的
professional (核心形容词（约 90）)	专业的
public (核心形容词（约 90）)	公共的
rapid (核心形容词（约 90）)	迅速的
rare (核心形容词（约 90）)	稀有的
ready (核心形容词（约 90）)	准备好的
real (核心形容词（约 90）)	真实的
recent (核心形容词（约 90）)	最近的
regular (核心形容词（约 90）)	有规律的
relevant (核心形容词（约 90）)	相关的（to）
reliable (核心形容词（约 90）)	可靠的
responsible (核心形容词（约 90）)	负责的（for）
rich (核心形容词（约 90）)	富裕的；丰富的
safe (核心形容词（约 90）)	安全的
serious (核心形容词（约 90）)	严重的；认真的
several (核心形容词（约 90）)	几个
similar (核心形容词（约 90）)	相似的（to）
simple (核心形容词（约 90）)	简单的
single (核心形容词（约 90）)	单一的；单身的
social (核心形容词（约 90）)	社会的
special (核心形容词（约 90）)	特殊的
specific (核心形容词（约 90）)	具体的
standard (核心形容词（约 90）)	标准的；标准
strong (核心形容词（约 90）)	强壮的
successful (核心形容词（约 90）)	成功的
sudden (核心形容词（约 90）)	突然的
sufficient (核心形容词（约 90）)	充足的
suitable (核心形容词（约 90）)	合适的（for）
surprising (核心形容词（约 90）)	令人惊讶的
technical (核心形容词（约 90）)	技术的
traditional (核心形容词（约 90）)	传统的
typical (核心形容词（约 90）)	典型的
useful (核心形容词（约 90）)	有用的
various (核心形容词（约 90）)	各种各样的
vast (核心形容词（约 90）)	广阔的
vital (核心形容词（约 90）)	至关重要的
wealthy (核心形容词（约 90）)	富裕的
wide (核心形容词（约 90）)	宽的
willing (核心形容词（约 90）)	愿意的（be willing to）
wise (核心形容词（约 90）)	明智的
worth (核心形容词（约 90）)	值得（be worth doing）
young (核心形容词（约 90）)	年轻的
widespread (核心形容词（约 90）)	广泛的
significant (核心形容词（约 90）)	显著的；重要的
ability (核心名词（约 140）)	能力
access (核心名词（约 140）)	通道；使用权（have access to）
accident (核心名词（约 140）)	事故
account (核心名词（约 140）)	账户；叙述（on account of）
achievement (核心名词（约 140）)	成就
action (核心名词（约 140）)	行动（take action）
activity (核心名词（约 140）)	活动
advantage (核心名词（约 140）)	优势（take advantage of）
advice (核心名词（约 140）)	建议（不可数）
age (核心名词（约 140）)	年龄；时代
aim (核心名词（约 140）)	目标
amount (核心名词（约 140）)	数量（an amount of）
analysis (核心名词（约 140）)	分析
animal (核心名词（约 140）)	动物
answer (核心名词（约 140）)	答案
application (核心名词（约 140）)	申请；应用
area (核心名词（约 140）)	区域；领域
argument (核心名词（约 140）)	论点；争论
art (核心名词（约 140）)	艺术
article (核心名词（约 140）)	文章；物品
attention (核心名词（约 140）)	注意（pay attention to）
attitude (核心名词（约 140）)	态度（towards/to）
audience (核心名词（约 140）)	观众；听众
authority (核心名词（约 140）)	权威；当局
balance (核心名词（约 140）)	平衡
behavior / behaviour (核心名词（约 140）)	行为
business (核心名词（约 140）)	商业；事务
career (核心名词（约 140）)	职业
case (核心名词（约 140）)	情况；案例（in case）
chance (核心名词（约 140）)	机会
character (核心名词（约 140）)	性格；人物
choice (核心名词（约 140）)	选择
city (核心名词（约 140）)	城市
class (核心名词（约 140）)	班级；阶层
climate (核心名词（约 140）)	气候
college (核心名词（约 140）)	学院
communication (核心名词（约 140）)	交流
community (核心名词（约 140）)	社区
company (核心名词（约 140）)	公司；陪伴
competition (核心名词（约 140）)	竞争；比赛
condition (核心名词（约 140）)	条件；状况
confidence (核心名词（约 140）)	信心
connection (核心名词（约 140）)	联系
consequence (核心名词（约 140）)	后果（as a consequence）
consumer (核心名词（约 140）)	消费者
contact (核心名词（约 140）)	联系（keep in contact）
content (核心名词（约 140）)	内容；满足的
conversation (核心名词（约 140）)	对话
country (核心名词（约 140）)	国家；乡村
course (核心名词（约 140）)	课程；过程（of course）
culture (核心名词（约 140）)	文化
customer (核心名词（约 140）)	顾客
data (核心名词（约 140）)	数据
decision (核心名词（约 140）)	决定
degree (核心名词（约 140）)	程度；学位
department (核心名词（约 140）)	部门
development (核心名词（约 140）)	发展
difference (核心名词（约 140）)	差异
difficulty (核心名词（约 140）)	困难
direction (核心名词（约 140）)	方向
discussion (核心名词（约 140）)	讨论
disease (核心名词（约 140）)	疾病
duty (核心名词（约 140）)	职责（on duty）
earth (核心名词（约 140）)	地球
economy (核心名词（约 140）)	经济
education (核心名词（约 140）)	教育
effect (核心名词（约 140）)	n.效果；影响（have an effect on）
effort (核心名词（约 140）)	努力（make efforts）
employee (核心名词（约 140）)	雇员
energy (核心名词（约 140）)	能量；精力
environment (核心名词（约 140）)	环境
equipment (核心名词（约 140）)	设备（不可数）
event (核心名词（约 140）)	事件
evidence (核心名词（约 140）)	证据
example (核心名词（约 140）)	例子（for example）
expert (核心名词（约 140）)	专家
fact (核心名词（约 140）)	事实（in fact）
factor (核心名词（约 140）)	因素
failure (核心名词（约 140）)	失败
family (核心名词（约 140）)	家庭
feature (核心名词（约 140）)	特征
field (核心名词（约 140）)	领域；田野
figure (核心名词（约 140）)	数字；人物；认为
food (核心名词（约 140）)	食物
freedom (核心名词（约 140）)	自由
friend (核心名词（约 140）)	朋友
future (核心名词（约 140）)	未来
goal (核心名词（约 140）)	目标
government (核心名词（约 140）)	政府
growth (核心名词（约 140）)	增长
habit (核心名词（约 140）)	习惯
health (核心名词（约 140）)	健康
history (核心名词（约 140）)	历史
idea (核心名词（约 140）)	想法
identity (核心名词（约 140）)	身份
impact (核心名词（约 140）)	影响（have an impact on）
importance (核心名词（约 140）)	重要性
income (核心名词（约 140）)	收入
industry (核心名词（约 140）)	工业；行业
information (核心名词（约 140）)	信息（不可数）
interest (核心名词（约 140）)	兴趣；利益
internet (核心名词（约 140）)	互联网
interview (核心名词（约 140）)	面试；采访
issue (核心名词（约 140）)	问题；议题
item (核心名词（约 140）)	项目；条款
job (核心名词（约 140）)	工作
knowledge (核心名词（约 140）)	知识（不可数）
language (核心名词（约 140）)	语言
law (核心名词（约 140）)	法律
leader (核心名词（约 140）)	领导者
learning (核心名词（约 140）)	学习
level (核心名词（约 140）)	水平
life (核心名词（约 140）)	生活；生命
list (核心名词（约 140）)	列表
loss (核心名词（约 140）)	损失
majority (核心名词（约 140）)	大多数
management (核心名词（约 140）)	管理
market (核心名词（约 140）)	市场
material (核心名词（约 140）)	材料；物质的
matter (核心名词（约 140）)	事情；要紧
meaning (核心名词（约 140）)	意义
media (核心名词（约 140）)	媒体
member (核心名词（约 140）)	成员
memory (核心名词（约 140）)	记忆
method (核心名词（约 140）)	方法
model (核心名词（约 140）)	模型；模特
moment (核心名词（约 140）)	片刻
money (核心名词（约 140）)	钱
nature (核心名词（约 140）)	自然；本性
need (核心名词（约 140）)	需要
network (核心名词（约 140）)	网络
news (核心名词（约 140）)	新闻（不可数）
number (核心名词（约 140）)	数字；数量
object (核心名词（约 140）)	物体；反对
opportunity (核心名词（约 140）)	机会
option (核心名词（约 140）)	选项
order (核心名词（约 140）)	顺序；订单；命令
organization (核心名词（约 140）)	组织
part (核心名词（约 140）)	部分（play a part）
partner (核心名词（约 140）)	伙伴
performance (核心名词（约 140）)	表现；表演
period (核心名词（约 140）)	时期
person (核心名词（约 140）)	人
phenomenon (核心名词（约 140）)	现象
plan (核心名词（约 140）)	计划
plant (核心名词（约 140）)	植物；工厂
point (核心名词（约 140）)	要点；分数（point out）
policy (核心名词（约 140）)	政策
population (核心名词（约 140）)	人口
position (核心名词（约 140）)	职位；位置
power (核心名词（约 140）)	力量；权力
practice (核心名词（约 140）)	练习；实践
pressure (核心名词（约 140）)	压力
price (核心名词（约 140）)	价格
problem (核心名词（约 140）)	问题
process (核心名词（约 140）)	过程
product (核心名词（约 140）)	产品
progress (核心名词（约 140）)	进步
project (核心名词（约 140）)	项目
purpose (核心名词（约 140）)	目的（on purpose）
quality (核心名词（约 140）)	质量
quantity (核心名词（约 140）)	数量
question (核心名词（约 140）)	问题
rate (核心名词（约 140）)	比率；速度
reason (核心名词（约 140）)	原因
relationship (核心名词（约 140）)	关系
resource (核心名词（约 140）)	资源
response (核心名词（约 140）)	回应
responsibility (核心名词（约 140）)	责任
risk (核心名词（约 140）)	风险
role (核心名词（约 140）)	角色（play a role）
rule (核心名词（约 140）)	规则
safety (核心名词（约 140）)	安全
salary (核心名词（约 140）)	薪水
science (核心名词（约 140）)	科学
service (核心名词（约 140）)	服务
skill (核心名词（约 140）)	技能
society (核心名词（约 140）)	社会
solution (核心名词（约 140）)	解决方案
source (核心名词（约 140）)	来源
space (核心名词（约 140）)	空间；太空
staff (核心名词（约 140）)	员工（集合）
state (核心名词（约 140）)	状态；州；陈述
statement (核心名词（约 140）)	陈述
step (核心名词（约 140）)	步骤
strategy (核心名词（约 140）)	策略
strength (核心名词（约 140）)	力量；长处
stress (核心名词（约 140）)	压力；强调
structure (核心名词（约 140）)	结构
student (核心名词（约 140）)	学生
study (核心名词（约 140）)	学习；研究
success (核心名词（约 140）)	成功
suggestion (核心名词（约 140）)	建议
supply (核心名词（约 140）)	供应
system (核心名词（约 140）)	系统
task (核心名词（约 140）)	任务
teacher (核心名词（约 140）)	教师
technology (核心名词（约 140）)	技术
tendency (核心名词（约 140）)	趋势
term (核心名词（约 140）)	学期；术语（in terms of）
theory (核心名词（约 140）)	理论
thing (核心名词（约 140）)	事物
thought (核心名词（约 140）)	想法
time (核心名词（约 140）)	时间（on time / in time）
tool (核心名词（约 140）)	工具
topic (核心名词（约 140）)	话题
trade (核心名词（约 140）)	贸易
tradition (核心名词（约 140）)	传统
traffic (核心名词（约 140）)	交通
training (核心名词（约 140）)	培训
transport (核心名词（约 140）)	运输
treatment (核心名词（约 140）)	治疗；对待
trend (核心名词（约 140）)	趋势
trouble (核心名词（约 140）)	麻烦（have trouble doing）
type (核心名词（约 140）)	类型
understanding (核心名词（约 140）)	理解
university (核心名词（约 140）)	大学
variety (核心名词（约 140）)	多样性（a variety of）
view (核心名词（约 140）)	观点；景色（in my view）
voice (核心名词（约 140）)	声音
way (核心名词（约 140）)	方式（in this way）
weakness (核心名词（约 140）)	弱点
wealth (核心名词（约 140）)	财富
weather (核心名词（约 140）)	天气
website (核心名词（约 140）)	网站
work (核心名词（约 140）)	工作；作品
world (核心名词（约 140）)	世界
youth (核心名词（约 140）)	青年；青春
actually (副词 / 介词 / 连词 / 功能词（约 50）)	实际上
almost (副词 / 介词 / 连词 / 功能词（约 50）)	几乎
already (副词 / 介词 / 连词 / 功能词（约 50）)	已经
also (副词 / 介词 / 连词 / 功能词（约 50）)	也
always (副词 / 介词 / 连词 / 功能词（约 50）)	总是
among (副词 / 介词 / 连词 / 功能词（约 50）)	在…之中（三者以上）
around (副词 / 介词 / 连词 / 功能词（约 50）)	大约；周围
as (副词 / 介词 / 连词 / 功能词（约 50）)	作为；因为；当
because (副词 / 介词 / 连词 / 功能词（约 50）)	因为
before (副词 / 介词 / 连词 / 功能词（约 50）)	在…之前
besides (副词 / 介词 / 连词 / 功能词（约 50）)	此外
between (副词 / 介词 / 连词 / 功能词（约 50）)	在…之间（两者）
beyond (副词 / 介词 / 连词 / 功能词（约 50）)	超出
carefully (副词 / 介词 / 连词 / 功能词（约 50）)	仔细地
certainly (副词 / 介词 / 连词 / 功能词（约 50）)	当然
clearly (副词 / 介词 / 连词 / 功能词（约 50）)	清楚地
completely (副词 / 介词 / 连词 / 功能词（约 50）)	完全地
currently (副词 / 介词 / 连词 / 功能词（约 50）)	目前
directly (副词 / 介词 / 连词 / 功能词（约 50）)	直接地
during (副词 / 介词 / 连词 / 功能词（约 50）)	在…期间
easily (副词 / 介词 / 连词 / 功能词（约 50）)	容易地
either (副词 / 介词 / 连词 / 功能词（约 50）)	也（不）；任一
especially (副词 / 介词 / 连词 / 功能词（约 50）)	尤其
eventually (副词 / 介词 / 连词 / 功能词（约 50）)	最终
exactly (副词 / 介词 / 连词 / 功能词（约 50）)	确切地
finally (副词 / 介词 / 连词 / 功能词（约 50）)	最后
however (副词 / 介词 / 连词 / 功能词（约 50）)	然而
immediately (副词 / 介词 / 连词 / 功能词（约 50）)	立刻
increasingly (副词 / 介词 / 连词 / 功能词（约 50）)	日益
instead (副词 / 介词 / 连词 / 功能词（约 50）)	反而（instead of）
just (副词 / 介词 / 连词 / 功能词（约 50）)	刚刚；仅仅
mainly (副词 / 介词 / 连词 / 功能词（约 50）)	主要地
nearly (副词 / 介词 / 连词 / 功能词（约 50）)	几乎
never (副词 / 介词 / 连词 / 功能词（约 50）)	从不
normally (副词 / 介词 / 连词 / 功能词（约 50）)	通常
often (副词 / 介词 / 连词 / 功能词（约 50）)	经常
only (副词 / 介词 / 连词 / 功能词（约 50）)	仅仅
particularly (副词 / 介词 / 连词 / 功能词（约 50）)	特别地
perhaps (副词 / 介词 / 连词 / 功能词（约 50）)	或许
probably (副词 / 介词 / 连词 / 功能词（约 50）)	大概
quickly (副词 / 介词 / 连词 / 功能词（约 50）)	快速地
rather (副词 / 介词 / 连词 / 功能词（约 50）)	相当；而不是（rather than）
recently (副词 / 介词 / 连词 / 功能词（约 50）)	最近
seriously (副词 / 介词 / 连词 / 功能词（约 50）)	严肃地
simply (副词 / 介词 / 连词 / 功能词（约 50）)	简单地
slightly (副词 / 介词 / 连词 / 功能词（约 50）)	轻微地
sometimes (副词 / 介词 / 连词 / 功能词（约 50）)	有时
still (副词 / 介词 / 连词 / 功能词（约 50）)	仍然
suddenly (副词 / 介词 / 连词 / 功能词（约 50）)	突然
therefore (副词 / 介词 / 连词 / 功能词（约 50）)	因此
though (副词 / 介词 / 连词 / 功能词（约 50）)	虽然
through (副词 / 介词 / 连词 / 功能词（约 50）)	通过
thus (副词 / 介词 / 连词 / 功能词（约 50）)	因此
together (副词 / 介词 / 连词 / 功能词（约 50）)	一起
usually (副词 / 介词 / 连词 / 功能词（约 50）)	通常
well (副词 / 介词 / 连词 / 功能词（约 50）)	好地；健康
whether (副词 / 介词 / 连词 / 功能词（约 50）)	是否
within (副词 / 介词 / 连词 / 功能词（约 50）)	在…之内
without (副词 / 介词 / 连词 / 功能词（约 50）)	没有
yet (副词 / 介词 / 连词 / 功能词（约 50）)	尚未；然而
according to (高频短语 / 固定搭配（约 50）)	根据
as a result (高频短语 / 固定搭配（约 50）)	结果
as well as (高频短语 / 固定搭配（约 50）)	以及
at least (高频短语 / 固定搭配（约 50）)	至少
be able to (高频短语 / 固定搭配（约 50）)	能够
be aware of (高频短语 / 固定搭配（约 50）)	意识到
be based on (高频短语 / 固定搭配（约 50）)	基于
be famous for (高频短语 / 固定搭配（约 50）)	因…著名
be fond of (高频短语 / 固定搭配（约 50）)	喜爱
be interested in (高频短语 / 固定搭配（约 50）)	对…感兴趣
be proud of (高频短语 / 固定搭配（约 50）)	为…骄傲
be responsible for (高频短语 / 固定搭配（约 50）)	对…负责
be used to (高频短语 / 固定搭配（约 50）)	习惯于（+doing）
because of (高频短语 / 固定搭配（约 50）)	因为
come up with (高频短语 / 固定搭配（约 50）)	想出
deal with (高频短语 / 固定搭配（约 50）)	处理
depend on (高频短语 / 固定搭配（约 50）)	依赖
due to (高频短语 / 固定搭配（约 50）)	由于
for example / for instance (高频短语 / 固定搭配（约 50）)	例如
get along with (高频短语 / 固定搭配（约 50）)	与…相处
give up (高频短语 / 固定搭配（约 50）)	放弃
in addition (高频短语 / 固定搭配（约 50）)	另外
in advance (高频短语 / 固定搭配（约 50）)	提前
in fact (高频短语 / 固定搭配（约 50）)	事实上
in order to (高频短语 / 固定搭配（约 50）)	为了
in spite of (高频短语 / 固定搭配（约 50）)	尽管
instead of (高频短语 / 固定搭配（约 50）)	而不是
